Loading STEP file: /workspace/reference/Osterath_Habitat_1225 AF.step
Found 61 solids.
ID   | Volume (mm3)    | Center (X, Y, Z)               | BBox Min                       | BBox Max                      
------------------------------------------------------------------------------------------------------------------------
0    | 29200500.00     | (-0.00, 2565.50, 3350.00)      | (-1200.00, 2543.00, 900.00)    | (1200.00, 2588.00, 5800.00)   
1    | 3181698832.00   | (-33.13, 1288.17, 3344.90)     | (-1202.00, 206.00, 898.00)     | (1202.00, 2510.00, 5802.00)   
2    | 78266.31        | (-489.66, 37.14, 3310.00)      | (-532.00, 20.00, 3237.77)      | (-455.00, 79.14, 3382.23)     
3    | 78266.31        | (-489.66, 37.14, 2150.00)      | (-532.00, 20.00, 2077.77)      | (-455.00, 79.14, 2222.23)     
4    | 14614445.95     | (415.00, 99.65, 3210.73)       | (375.00, -0.00, 755.00)        | (455.00, 200.00, 5655.00)     
5    | 14614445.95     | (-415.00, 99.65, 3210.73)      | (-455.00, -0.00, 755.00)       | (-375.00, 200.00, 5655.00)    
6    | 3249171.35      | (455.96, 204.00, 2194.77)      | (366.50, 200.00, 1028.00)      | (546.50, 208.00, 3330.00)     
7    | 3249171.35      | (-455.96, 204.00, 2194.77)     | (-546.50, 200.00, 1028.00)     | (-366.50, 208.00, 3330.00)    
8    | 3045336.52      | (444.22, 204.00, 4729.18)      | (216.50, 200.00, 3680.00)      | (546.50, 208.00, 5655.00)     
9    | 3045336.52      | (-444.22, 204.00, 4729.18)     | (-546.50, 200.00, 3680.00)     | (-216.50, 208.00, 5655.00)    
10   | 863947.26       | (-459.00, -39.33, 5240.17)     | (-463.00, -210.00, 5070.00)    | (-455.00, 160.00, 5410.00)    
11   | 863947.26       | (459.00, -39.33, 5240.17)      | (455.00, -210.00, 5070.00)     | (463.00, 160.00, 5410.00)     
12   | 2204773.02      | (-0.00, 108.09, 5662.50)       | (-440.00, 5.00, 5655.00)       | (440.00, 200.00, 5670.00)     
13   | 244323.05       | (-302.42, 4.00, 5555.17)       | (-375.00, 0.00, 5440.00)       | (-215.00, 8.00, 5655.00)      
14   | 244323.05       | (302.42, 4.00, 5555.17)        | (215.00, 0.00, 5440.00)        | (375.00, 8.00, 5655.00)       
15   | 8917407.01      | (-438.39, -105.00, 3160.00)    | (-455.00, -210.00, 910.00)     | (-385.00, 0.00, 5410.00)      
16   | 8917407.01      | (438.39, -105.00, 3160.00)     | (385.00, -210.00, 910.00)      | (455.00, 0.00, 5410.00)       
17   | 529095.70       | (472.08, -13.60, 1500.00)      | (465.00, -189.00, 1356.53)     | (487.62, 175.88, 1643.47)     
18   | 270507.80       | (511.68, 67.21, 1500.00)       | (475.00, 0.00, 1403.47)        | (545.00, 170.00, 1596.53)     
19   | 45628.75        | (467.14, 113.10, 1602.10)      | (457.07, 54.42, 1567.25)       | (477.22, 171.78, 1636.96)     
20   | 372858.66       | (460.00, -74.23, 1500.00)      | (455.00, -189.00, 1399.75)     | (465.00, 36.00, 1600.25)      
21   | 45628.75        | (467.14, 113.10, 1397.90)      | (457.07, 54.42, 1363.04)       | (477.22, 171.78, 1432.75)     
22   | 317184.58       | (499.66, 95.61, 1500.00)       | (455.00, 30.00, 1423.83)       | (545.00, 180.00, 1576.17)     
23   | 67476.33        | (518.00, 98.85, 1437.37)       | (493.00, 29.94, 1414.42)       | (543.00, 167.76, 1460.32)     
24   | 67476.33        | (518.00, 98.85, 1562.63)       | (493.00, 29.94, 1539.68)       | (543.00, 167.76, 1585.58)     
